127.0.0.1 - - [31/Dec/2016:23:55:50 -0800] "GET /api/v1/refer?a=viator&i=com.viator&h=157b80c03133cba0eec1412eccae72f28367b424&k=APID&an=Google&p=iOS&u=574ED3DB-5D00-4F7A-BFCB-56F3E9CF5CF9&ca=-&op=touch HTTP/1.1" 200 18 "-" "Apsalar/postback_status" "-" 0.000 "-"
172.251.243.164 - - [31/Dec/2016:23:58:53 -0800] "GET /api/v1/event?a=viator&k=APID&u=757E2906-58B8-4F80-B3DC-B6114B1873A2&av=5.3.0&i=com.viator&lag=5.62&n=Launch&e=%7B%22adInfoId%22%3A%2200000000-0000-0000-0000-000000000000%22%7D&p=iOS&rt=plist&s=03158AE9-A601-4CD8-ACBF-F896AB81F1E1&t=0.01&idfa=(null)&idfv=785C681A-E5A4-4D9B-A333-28593B970FF1&seq=1&sdk=Apsalar%2F7.3.1&h=5d7dd434f6836e728342ebbc549c867627899e2c HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "172.251.243.164" 0.000 "-" country=US&mo=iPhone8%2C2&adv_id=None&ma=Apple&ann=Y
49.185.246.209 - - [31/Dec/2016:23:53:04 -0800] "GET /api/v1/event?a=viator&k=APID&u=8FC292C6-FCC7-4E8D-8786-54828F81C19E&av=5.3.0&i=com.viator&lag=6.19&n=Launch&e=%7B%22adInfoId%22%3A%2213AC1A8F-915F-4F37-B7DD-F1A8542095BD%22%7D&p=iOS&rt=plist&s=9AB350A2-FEAC-45EC-94A8-B5E239EA40E6&t=0.00&idfa=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&idfv=03334776-BCC3-4717-9B96-BE2E19524BEA&seq=1&sdk=Apsalar%2F7.3.1&h=b00968424fcc272567257761dd6bf96a08a674dd HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "49.185.246.209" 0.000 "-" country=AU&mo=iPhone7%2C1&adv_id=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&ma=Apple&ann=Y
27.252.190.48 - - [31/Dec/2016:23:43:32 -0800] "GET /api/v1/event?a=viator&k=IDFA&u=8426CED2-545D-467A-AA17-CDF13CCED7EB&av=5.3.0&i=com.viator&lag=0.01&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=32F28BB4-62A2-434E-9F69-A9E0BF508BBF&t=227.29&idfa=8426CED2-545D-467A-AA17-CDF13CCED7EB&idfv=B6CF3C8C-EE79-4CA6-9C08-559B77E8B469&seq=0&sdk=Apsalar%2F7.3.1&h=cd4aadddc36a397bd21d145467b58a2885eeb84e HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.1.4 Darwin/16.1.0" "27.252.190.48" 0.000 "-" country=NZ&mo=None&adv_id=None&ma=None&ann=Y
120.22.87.105 - - [31/Dec/2016:23:35:21 -0800] "GET /api/v1/event?a=viator&k=APID&u=DAC41B1F-32D8-4B77-B3BD-569ED71A83EF&av=5.3.0&i=com.viator&lag=0.01&n=viewProduct&e=%7B%22productName%22%3A%22Cook%20Island%20and%20Dolphin%20Helicopter%20Flight%20from%20the%20Gold%20Coast%22%2C%22primaryDestinationId%22%3A367%2C%22primaryDestinationName%22%3A%22Gold%20Coast%22%2C%22viewProduct%22%3A%22%5C%2229803P1%5C%22%22%7D&p=iOS&rt=plist&s=8D0DE731-3090-4C60-83B0-6887C09B2956&t=119.51&idfa=32D86C90-8CF5-4A8F-A56E-744B4A5188BF&idfv=02544AA8-1683-406A-B82E-980A80840320&seq=5&sdk=Apsalar%2F7.3.1&h=bbff39f5cbb3664c60951ec2e4b4f316bc552eb7 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.0.2 Darwin/16.0.0" "120.22.87.105" 0.000 "-" country=AU&mo=iPhone7%2C2&adv_id=32D86C90-8CF5-4A8F-A56E-744B4A5188BF&ma=Apple&ann=Y
46.229.173.131 - - [31/Dec/2016:23:57:52 -0800] "GET /api/v1/refer?a=viator&an=Google+Display+%28Apps%29&append_app_conv_trk_params=1&ca=Install+Android+Phone&cr=98663032843&h=6b94b7d51d4d5aad748432e243cb9a1d76ef9145&i=com.viator.mobile.android&ip=46.229.173.131&k=GAID&lpurl=market%3A%2F%2Fdetails%3Fid%3Dcom.viator.mobile.android%26hl%3Den%26referrer%3Dutm_source%253DAdwords%2526utm_term%253DAdwords%2526utm_medium%253Drockvf.com%2526utm_campaign%253DADXADREFam555ce4a356eb53&op=click&p=Android&pl=General+Apps&rand=209957476873850041&re=0&rt=json&s=rockvf.com&st=489225010450&u=ff0686c4-cff7-11e6-8001-000000000000&ve=4.2.2 HTTP/1.1" 200 18 "-" "Mozilla/5.0 (Linux; Android 4.2.2; en-us; SAMSUNG-SGH-1337 BUild/JDQ39) AppleWebKit/535.19 (KHTML, like Gecko) Version/1.0 Chrome/18.0.1025.308 Mobile Safari/535.19" "46.229.173.131" 0.000 "-"
172.251.243.164 - - [31/Dec/2016:23:59:00 -0800] "GET /api/v1/event?a=viator&k=APID&u=757E2906-58B8-4F80-B3DC-B6114B1873A2&av=5.3.0&i=com.viator&lag=0.04&n=end_session&e=%7B%7D&p=iOS&rt=plist&s=03158AE9-A601-4CD8-ACBF-F896AB81F1E1&t=12.93&idfa=(null)&idfv=785C681A-E5A4-4D9B-A333-28593B970FF1&seq=0&sdk=Apsalar%2F7.3.1&h=4287740d8c02e0b23fac0f4a3cce2a466adb5c10 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "172.251.243.164" 0.000 "-" country=US&mo=None&adv_id=None&ma=None&ann=Y
49.185.246.209 - - [31/Dec/2016:23:53:06 -0800] "GET /api/v1/event?a=viator&k=APID&u=8FC292C6-FCC7-4E8D-8786-54828F81C19E&av=5.3.0&i=com.viator&lag=0.02&n=Launch&e=%7B%22adInfoId%22%3A%2213AC1A8F-915F-4F37-B7DD-F1A8542095BD%22%7D&p=iOS&rt=plist&s=9AB350A2-FEAC-45EC-94A8-B5E239EA40E6&t=8.54&idfa=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&idfv=03334776-BCC3-4717-9B96-BE2E19524BEA&seq=2&sdk=Apsalar%2F7.3.1&h=24dd00928fcf1a33aeba673371536f4c5e647979 HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "49.185.246.209" 0.000 "-" country=AU&mo=iPhone7%2C1&adv_id=13AC1A8F-915F-4F37-B7DD-F1A8542095BD&ma=Apple&ann=Y
172.91.120.238 - - [31/Dec/2016:23:35:27 -0800] "GET /api/v1/event?a=viator&k=APID&u=74E680B2-962F-4726-9C39-09DE2D00197B&av=5.3.0&i=com.viator&lag=0.02&n=viewProduct&e=%7B%22productName%22%3A%22Paris%20Rail%20Day%20Trip%20from%20London%22%2C%22primaryDestinationId%22%3A737%2C%22primaryDestinationName%22%3A%22London%22%2C%22viewProduct%22%3A%22%5C%223858EE034_037%5C%22%22%7D&p=iOS&rt=plist&s=078EA02D-8F70-4689-B538-14737686FD9F&t=4703.58&idfa=(null)&idfv=1D151AE6-3849-40C6-898B-9F756D8C9104&seq=12&sdk=Apsalar%2F7.3.1&h=9a6250116841e9a17c2b61dcb14f269ce3417d6d HTTP/1.0" 200 247 "-" "Viator/5.3.0.1 CFNetwork/808.2.16 Darwin/16.3.0" "172.91.120.238" 0.000 "-" country=US&mo=iPhone9%2C4&adv_id=None&ma=Apple&ann=Y
203.99.136.2 - - [31/Dec/2016:23:57:45 -0800] "GET /api/v1/start?a=viator&ab=armeabi-v7a&av=3.4.0&br=samsung&c=wifi&de=j5lte&i=com.viator.mobile.android&ma=samsung&mo=SM-J500G&n=Viator&p=Android&pr=j5ltedx&rt=json&s=b6235fa6-30fc-4eb2-955c-c1404dedd7ce&sdk=Apsalar%2F6.5&src=com.android.vending&u=8d52c808-dba4-49ba-b542-29d443c64824&k=AIFA&aifa=8d52c808-dba4-49ba-b542-29d443c64824&dnt=0&v=6.0.1&lag=1.957&h=028c54a8f2d25642236d11cae3feea3fad331760 HTTP/1.0" 200 132 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J500G Build/MMB29M)" "203.99.136.2" 0.426 "first=true redirect=false startRespTime=1 ddlUrl= ddlErr=<nil>" country=MY&adv_id=8d52c808-dba4-49ba-b542-29d443c64824&reinstall=False&ann=Y
203.99.136.2 - - [31/Dec/2016:23:57:53 -0800] "GET /api/v1/event?a=viator&av=3.4.0&e=%7B%22referrer%22%3A%22utm_source%3Dgoogle-play%26utm_medium%3Dorganic%22%7D&i=com.viator.mobile.android&n=__InstallReferrer&p=Android&rt=json&s=b6235fa6-30fc-4eb2-955c-c1404dedd7ce&sdk=Apsalar%2F6.5&t=8.553&u=8d52c808-dba4-49ba-b542-29d443c64824&k=AIFA&seq=2&lag=1.127&h=16b61d7b2956ef82a84237bea35a5d1b235897b9 HTTP/1.0" 200 18 "-" "Dalvik/2.1.0 (Linux; U; Android 6.0.1; SM-J500G Build/MMB29M)" "203.99.136.2" 0.000 "-"
